ISBN	Precio
1536956422	5,58
1537166727	13,02
1539332624	13,43
1539350002	22,22
1551640023	14,18
1551642611	14,62
1551642867	9,70
1565843975	18,12
1565848594	17,68
1566561280	12,63
1566892279	17,48
1567513441	25,75
1567922953	26,39
1583671536	13,59
1583676058	23,81
1586633953	14,61
1594390266	16,11
1608463311	15,54
1608464008	14,85
1608464245	16,66
1609804546	11,17
1612051820	31,57
1614278040	11,11
1623156947	72,42
162779381X	25,75
1628870729	10,68
1633882357	17,97
1634594703	44,64
1634595432	188,25
1634595513	44,63
1634596811	175,17
163460749X	49,63
174059780X	13,38
1741140781	5,65
1781383146	113,71
1782224122	18,32
1783190442	11,82
1783190493	14,57
1783740922	16,91
1840024356	11,66
184046237X	5,82
1841504637	52,97
1843910659	5,01
1843922282	104,00
1844370011	3,63
1844672573	18,46
1846680409	11,66
1846682681	10,68
1848310889	2,49
1848312946	10,50
1852421177	6,01
1855662671	23,81
1857155025	16,00
185984040X	4,76
1859843778	18,46
1859845010	13,59
1860463533	3,64
1873176791	32,14
1876175133	5,24
1878825224	14,16
1893010287	48,47
189355497X	16,52
189543162X	8,87
1902593359	18,95
1902593693	11,83
1904978681	24,00
1906838313	17,97
1906838615	21,61
1906838658	23,81
1908276789	11,66
1911214195	9,02
1933633832	14,49
193438917X	14,08
1936599325	23,70
2013725841	11,30
2020208962	6,90
2020339978	15,20
2020372967	15,20
2020513935	15,20
2020658275	18,30
202067985X	19,30
2020837951	11,31
2020888076	22,30
2020961296	19,30
2020979659	22,30
2021029484	23,30
2021078736	19,50
2021110354	22,00
2080812610	8,20
2211069711	4,60
2264038128	7,12
226616922X	6,21
2266261541	5,99
234310087X	25,00
2709613980	1,00
271860929X	16,00
2748900375	10,20
2757830465	7,30
2757861301	7,98
2895962308	31,30
2897191813	19,00
2897192453	19,00
2910557049	17,33
2916890955	14,90
2930402202	9,69
3442737214	15,75
3458360093	9,71
3458360247	9,71
3458360824	9,71
3518466585	9,71
3518586947	25,27
3548602746	0,01
3631498667	38,86
3640261399	12,63
3650401606	16,47
3656595275	5,53
3656911800	10,15
3662510375	135,19
3668265046	9,29
3828893651	24,20
3897710552	13,60
3897710609	15,55
3937683607	8,26
5518636385	46,86
8126517476	16,91
8189833286	5,59
8324027734	22,75
8324028765	20,79
8324032827	21,57
8372000557	84,56
8373190732	7,90
8373193561	13,95
8855801678	21,96
8855802267	15,00
8861454259	13,00
8884514819	17,30
9028426159	69,93
9061123097	7,80
9781405884426	20,04
9812688978	2,61

